Region,NbMoisService,Age,StatutMarital,Adresse,Revenu,education,NbAnneesEmployeur,Retraite,Sexe,TailleFoyer,ServiceNumVert,LocMateriel,ServiceCarteAppel,ServiceSansFil,Internet,AffichageNumAppel,DoubleAppel,TransfertAppel,ConfTel,PaieElectronique,CatClient,Churn
Zone 3,29,26,Non marie(e),7,34,Inf au bac,7,Non,Femme,2,Non,Non,Oui,Non,Aucun,Oui,Oui,Non,Non,Non,Service plus,Non
Zone 1,60,46,Non marie(e),17,81,Bac +4/5,9,Non,Femme,1,Non,Oui,Oui,Non,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Non
Zone 1,71,45,Marie(e),14,86,Niveau Bac,25,Non,Homme,2,Non,Oui,Oui,Non,Dial-up,Non,Non,Non,Non,Non,Service electronique,Non
Zone 3,38,27,Marie(e),0,26,Bac +2/3,2,Non,Homme,4,Non,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Non,Oui,Service Total,Oui
Zone 3,16,34,Marie(e),5,51,Niveau Bac,8,Non,Femme,5,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 3,7,31,Non marie(e),10,59,Bac +2,10,Non,Homme,1,Non,Oui,Non,Non,Aucun,Non,Oui,Non,Non,Oui,Service basic,Non
Zone 1,59,53,Non marie(e),21,112,Bac +2/3,16,Non,Homme,1,Non,Oui,Non,Oui,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Oui
Zone 2,22,56,Marie(e),14,57,Bac +2/3,28,Non,Homme,2,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Non,Service Total,Non
Zone 1,18,48,Marie(e),20,41,Inf au bac,2,Non,Femme,2,Oui,Non,Oui,Non,Aucun,Oui,Oui,Non,Non,Non,Service basic,Non
Zone 2,64,46,Marie(e),19,168,Niveau Bac,26,Non,Femme,2,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Non
Zone 2,7,33,Non marie(e),4,29,Bac +2/3,4,Non,Femme,3,Non,Oui,Non,Non,Dial-up,Non,Non,Non,Non,Oui,Service basic,Oui
Zone 3,65,58,Non marie(e),13,167,Niveau Bac,14,Non,Femme,2,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 3,7,24,Non marie(e),5,29,Niveau Bac,3,Non,Homme,3,Oui,Non,Non,Non,Dial-up,Non,Non,Non,Oui,Non,Service basic,Oui
Zone 1,64,55,Non marie(e),28,104,Inf au bac,26,Non,Femme,1,Non,Non,Oui,Non,Aucun,Oui,Non,Non,Oui,Non,Service plus,Non
Zone 3,42,22,Marie(e),0,46,Bac +2/3,0,Non,Homme,2,Oui,Oui,Oui,Oui,Dial-up,Non,Oui,Oui,Non,Non,Service Total,Oui
Zone 3,33,26,Non marie(e),5,46,Bac +2/3,1,Non,Femme,3,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Non
Zone 1,3,33,Non marie(e),8,51,Bac +2/3,0,Non,Femme,1,Non,Oui,Non,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Oui
Zone 2,69,42,Marie(e),11,65,Niveau Bac,18,Non,Homme,2,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Non
Zone 2,9,33,Non marie(e),1,48,Niveau Bac,13,Non,Homme,2,Oui,Non,Oui,Non,Aucun,Oui,Oui,Non,Non,Non,Service basic,Non
Zone 3,22,34,Marie(e),1,46,Bac +2,1,Non,Homme,4,Non,Oui,Non,Non,Dial-up,Non,Non,Non,Non,Non,Service electronique,Non
Zone 2,53,63,Marie(e),15,43,Niveau Bac,18,Non,Homme,2,Non,Oui,Oui,Non,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Non
Zone 3,71,53,Non marie(e),30,110,Inf au bac,34,Non,Homme,1,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 3,24,26,Non marie(e),2,32,Bac +2,2,Non,Homme,3,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Oui,Service basic,Non
Zone 3,12,22,Marie(e),1,18,Bac +2,0,Non,Femme,2,Non,Non,Non,Non,Dial-up,Non,Non,Non,Non,Oui,Service basic,Non
Zone 1,25,39,Marie(e),1,26,Bac +2/3,0,Non,Homme,4,Non,Oui,Oui,Oui,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Oui
Zone 3,63,28,Marie(e),9,34,Niveau Bac,10,Non,Femme,6,Oui,Non,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 1,33,54,Marie(e),18,57,Bac +2/3,4,Non,Femme,3,Oui,Oui,Non,Non,Dial-up,Oui,Oui,Oui,Non,Non,Service plus,Oui
Zone 2,57,54,Marie(e),20,21,Niveau Bac,0,Non,Femme,3,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 3,13,33,Non marie(e),7,38,Bac +2,10,Non,Femme,1,Oui,Oui,Oui,Oui,Dial-up,Non,Oui,Oui,Oui,Oui,Service Total,Non
Zone 1,13,21,Non marie(e),2,19,Bac +2,0,Non,Femme,1,Non,Oui,Oui,Non,Dial-up,Non,Non,Non,Non,Non,Service electronique,Oui
Zone 1,71,39,Non marie(e),2,40,Bac +2,17,Non,Homme,1,Oui,Non,Oui,Non,Aucun,Non,Oui,Non,Oui,Non,Service plus,Non
Zone 3,18,69,Marie(e),11,58,Bac +2,8,Non,Homme,2,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Non
Zone 1,17,51,Marie(e),10,95,Niveau Bac,15,Non,Femme,2,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Oui
Zone 2,22,43,Non marie(e),4,114,Niveau Bac,19,Non,Homme,1,Non,Oui,Non,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 2,65,65,Marie(e),27,128,Bac +2,24,Non,Homme,2,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 3,7,40,Non marie(e),9,33,Bac +2/3,2,Non,Femme,1,Non,Non,Non,Non,Dial-up,Non,Non,Non,Non,Oui,Service basic,Non
Zone 3,72,66,Non marie(e),30,460,Bac +2/3,41,Non,Femme,1,Non,Oui,Oui,Non,Dial-up,Non,Non,Oui,Oui,Non,Service Total,Non
Zone 1,35,43,Non marie(e),12,224,Bac +2,17,Non,Homme,1,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 1,24,39,Non marie(e),2,122,Bac +2/3,12,Non,Homme,3,Oui,Non,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Non,Service Total,Non
Zone 1,64,24,Marie(e),0,23,Bac +2,1,Non,Femme,5,Non,Oui,Non,Non,Dial-up,Non,Oui,Non,Oui,Non,Service electronique,Non
Zone 2,63,63,Marie(e),19,191,Bac +2,27,Non,Homme,2,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 1,38,31,Marie(e),7,187,Bac +2/3,6,Non,Homme,3,Oui,Non,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Non,Service Total,Oui
Zone 2,29,37,Marie(e),9,119,Bac +2,12,Non,Homme,3,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 1,72,69,Marie(e),49,44,Niveau Bac,44,Oui,Femme,2,Non,Non,Oui,Non,Aucun,Non,Oui,Non,Oui,Non,Service plus,Non
Zone 1,10,27,Marie(e),2,15,Bac +2,2,Non,Femme,2,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Oui
Zone 3,72,64,Non marie(e),41,674,Bac +2/3,37,Non,Femme,1,Oui,Non,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 3,52,23,Marie(e),4,33,Bac +2/3,0,Non,Femme,2,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 3,13,55,Non marie(e),3,250,Niveau Bac,35,Non,Femme,2,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 1,3,33,Non marie(e),6,64,Bac +2/3,0,Non,Homme,2,Non,Oui,Non,Non,Aucun,Non,Non,Non,Non,Oui,Service basic,Oui
Zone 3,39,24,Marie(e),2,26,Niveau Bac,4,Non,Homme,4,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Oui,Service basic,Oui
Zone 2,28,29,Non marie(e),4,23,Bac +2,5,Non,Homme,2,Non,Non,Non,Non,Dial-up,Non,Non,Oui,Oui,Oui,Service electronique,Non
Zone 2,46,42,Non marie(e),9,52,Bac +2/3,7,Non,Homme,3,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 2,62,46,Non marie(e),27,200,Bac +2,9,Non,Femme,1,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 2,23,33,Marie(e),7,28,Inf au bac,4,Non,Homme,2,Non,Non,Oui,Non,Aucun,Oui,Oui,Oui,Non,Non,Service plus,Non
Zone 3,23,25,Marie(e),5,19,Bac +4/5,0,Non,Homme,3,Oui,Oui,Non,Non,Dial-up,Non,Oui,Oui,Non,Oui,Service Total,Oui
Zone 2,72,61,Marie(e),39,76,Bac +2,21,Non,Homme,2,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Non,Service Total,Non
Zone 3,56,60,Non marie(e),26,70,Niveau Bac,20,Non,Homme,1,Non,Oui,Non,Oui,Aucun,Non,Non,Non,Non,Oui,Service basic,Non
Zone 1,8,30,Non marie(e),1,34,Niveau Bac,9,Non,Femme,1,Non,Non,Oui,Non,Aucun,Oui,Non,Oui,Oui,Non,Service plus,Non
Zone 3,3,36,Non marie(e),7,34,Bac +4/5,3,Non,Femme,3,Oui,Oui,Non,Non,Aucun,Non,Non,Oui,Non,Oui,Service Total,Non
Zone 3,37,37,Non marie(e),7,172,Bac +2,13,Non,Homme,1,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Oui,Service basic,Non
Zone 3,37,53,Marie(e),13,48,Inf au bac,10,Non,Homme,3,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 2,6,30,Non marie(e),9,45,Niveau Bac,2,Non,Femme,1,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Oui
Zone 1,48,47,Non marie(e),9,72,Bac +2,13,Non,Homme,5,Oui,Non,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Non,Service Total,Oui
Zone 2,43,43,Marie(e),3,55,Bac +2/3,18,Non,Femme,4,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Non,Service Total,Non
Zone 2,21,29,Non marie(e),7,40,Bac +2/3,2,Non,Femme,4,Oui,Oui,Oui,Oui,Dial-up,Non,Oui,Oui,Non,Non,Service basic,Non
Zone 3,6,33,Non marie(e),12,26,Bac +2,0,Non,Homme,1,Oui,Non,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Non,Service plus,Oui
Zone 2,69,51,Non marie(e),18,96,Inf au bac,33,Non,Homme,4,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 1,22,33,Non marie(e),9,54,Inf au bac,10,Non,Homme,1,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 1,28,40,Marie(e),1,47,Niveau Bac,9,Non,Femme,3,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 1,71,47,Marie(e),23,142,Inf au bac,30,Non,Homme,2,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 2,7,37,Non marie(e),5,57,Bac +2/3,1,Non,Homme,1,Non,Non,Non,Non,Aucun,Non,Non,Non,Oui,Non,Service basic,Non
Zone 1,63,29,Non marie(e),10,20,Bac +2,7,Non,Homme,2,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Non
Zone 2,53,57,Non marie(e),25,37,Inf au bac,7,Non,Homme,1,Non,Non,Oui,Non,Aucun,Non,Non,Oui,Non,Non,Service electronique,Non
Zone 2,50,52,Marie(e),17,36,Bac +2/3,16,Non,Homme,4,Oui,Non,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Oui,Service Total,Non
Zone 2,39,31,Marie(e),6,24,Bac +2/3,2,Non,Homme,2,Non,Oui,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Oui,Service Total,Non
Zone 3,16,19,Non marie(e),0,21,Niveau Bac,0,Non,Femme,1,Non,Non,Non,Non,Aucun,Non,Oui,Non,Non,Non,Service basic,Non
Zone 3,43,51,Marie(e),15,186,Bac +2,25,Non,Homme,2,Oui,Non,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Non,Service Total,Non
Zone 3,44,31,Non marie(e),12,30,Inf au bac,7,Non,Femme,3,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 2,72,66,Marie(e),43,96,Niveau Bac,16,Non,Femme,2,Oui,Non,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Oui,Service Total,Non
Zone 3,61,76,Non marie(e),39,15,Inf au bac,29,Oui,Homme,1,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 3,43,21,Marie(e),1,25,Inf au bac,4,Non,Homme,4,Non,Non,Non,Non,Dial-up,Non,Non,Oui,Oui,Non,Service electronique,Oui
Zone 3,24,39,Non marie(e),11,49,Bac +2,7,Non,Femme,1,Non,Oui,Non,Non,Dial-up,Non,Non,Non,Non,Non,Service basic,Non
Zone 3,64,45,Non marie(e),4,38,Niveau Bac,7,Non,Femme,1,Oui,Non,Oui,Non,Aucun,Oui,Non,Oui,Oui,Non,Service plus,Oui
Zone 2,64,38,Non marie(e),0,29,Niveau Bac,2,Non,Homme,2,Oui,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 1,24,26,Non marie(e),7,55,Niveau Bac,7,Non,Femme,1,Non,Non,Non,Non,Aucun,Non,Oui,Non,Non,Non,Service basic,Non
Zone 3,33,55,Marie(e),21,64,Bac +2,10,Non,Femme,3,Oui,Non,Oui,Non,Aucun,Non,Non,Oui,Oui,Non,Service basic,Non
Zone 2,33,33,Marie(e),12,42,Bac +2/3,7,Non,Femme,5,Non,Oui,Oui,Oui,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 1,2,40,Non marie(e),9,134,Bac +2/3,2,Non,Homme,1,Non,Oui,Non,Non,Dial-up,Non,Non,Non,Non,Oui,Service basic,Non
Zone 2,42,48,Marie(e),22,82,Inf au bac,21,Non,Femme,5,Oui,Non,Oui,Non,Dial-up,Oui,Oui,Oui,Non,Oui,Service Total,Non
Zone 1,52,54,Marie(e),5,153,Bac +4/5,10,Non,Homme,2,Non,Oui,Non,Oui,Dial-up,Oui,Non,Non,Non,Oui,Service electronique,Oui
Zone 1,45,66,Non marie(e),43,144,Niveau Bac,13,Non,Femme,1,Non,Non,Oui,Non,Dial-up,Non,Non,Non,Non,Non,Service electronique,Non
Zone 3,3,25,Non marie(e),4,22,Bac +2/3,0,Non,Homme,2,Non,Oui,Oui,Non,Dial-up,Non,Oui,Oui,Oui,Oui,Service Total,Oui
Zone 2,37,53,Marie(e),16,35,Inf au bac,16,Non,Femme,4,Non,Non,Non,Non,Aucun,Non,Oui,Oui,Non,Non,Service plus,Non
Zone 2,28,57,Non marie(e),33,82,Bac +2/3,22,Non,Femme,1,Non,Oui,Non,Non,Dial-up,Non,Non,Oui,Non,Oui,Service electronique,Oui
Zone 3,40,63,Marie(e),9,61,Inf au bac,22,Non,Homme,2,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 2,37,33,Non marie(e),1,102,Niveau Bac,12,Non,Homme,1,Non,Oui,Oui,Oui,Dial-up,Oui,Oui,Non,Non,Oui,Service Total,Non
Zone 3,7,27,Non marie(e),5,31,Bac +2,4,Non,Homme,5,Oui,Oui,Non,Oui,Dial-up,Oui,Oui,Oui,Non,Oui,Service Total,Oui
Zone 1,71,56,Non marie(e),23,170,Inf au bac,30,Non,Femme,1,Oui,Non,Oui,Non,Aucun,Non,Oui,Oui,Oui,Non,Service Total,Non
Zone 2,19,46,Non marie(e),11,26,Niveau Bac,0,Non,Femme,1,Non,Non,Oui,Non,Dial-up,Non,Oui,Non,Oui,Oui,Service basic,Non
Zone 2,61,40,Non marie(e),15,85,Bac +2,15,Non,Femme,1,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Oui,Service plus,Non
Zone 3,70,53,Marie(e),16,183,Niveau Bac,35,Non,Femme,2,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 2,60,55,Marie(e),13,67,Inf au bac,18,Non,Femme,2,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 3,48,45,Marie(e),5,42,Inf au bac,11,Non,Femme,2,Non,Non,Non,Non,Aucun,Non,Oui,Non,Non,Non,Service basic,Non
Zone 1,8,63,Marie(e),1,31,Inf au bac,9,Non,Homme,2,Oui,Non,Oui,Non,Aucun,Oui,Non,Oui,Oui,Non,Service plus,Non
Zone 2,58,58,Marie(e),10,96,Niveau Bac,17,Non,Homme,4,Oui,Non,Non,Non,Aucun,Oui,Oui,Non,Oui,Non,Service plus,Non
Zone 1,16,24,Marie(e),5,24,Bac +2,2,Non,Homme,5,Non,Non,Oui,Non,Aucun,Oui,Oui,Oui,Non,Non,Service plus,Non
Zone 2,33,33,Non marie(e),4,53,Niveau Bac,14,Non,Femme,1,Non,Non,Non,Non,Aucun,Oui,Non,Non,Non,Non,Service basic,Non
Zone 2,39,25,Non marie(e),4,18,Inf au bac,0,Non,Femme,1,Non,Non,Non,Non,Aucun,Oui,Oui,Non,Oui,Non,Service plus,Non
Zone 1,62,51,Non marie(e),10,43,Bac +2/3,19,Non,Homme,2,Non,Oui,Oui,Oui,Dial-up,Oui,Non,Non,Non,Oui,Service electronique,Non
Zone 1,50,34,Non marie(e),10,104,Bac +2,9,Non,Homme,1,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Non
Zone 2,48,55,Non marie(e),31,26,Inf au bac,1,Non,Homme,1,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 3,31,62,Non marie(e),5,56,Niveau Bac,26,Non,Femme,1,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 2,65,33,Marie(e),9,49,Niveau Bac,6,Non,Homme,5,Oui,Non,Oui,Non,Aucun,Non,Non,Oui,Non,Non,Service electronique,Non
Zone 1,36,58,Non marie(e),34,80,Inf au bac,21,Non,Femme,1,Non,Non,Oui,Non,Aucun,Non,Oui,Non,Non,Non,Service electronique,Non
Zone 1,61,46,Non marie(e),5,318,Bac +2,18,Non,Femme,1,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 2,48,42,Non marie(e),21,35,Bac +2/3,5,Non,Homme,1,Non,Non,Non,Non,Aucun,Non,Oui,Oui,Non,Non,Service plus,Non
Zone 3,35,45,Non marie(e),17,29,Inf au bac,6,Non,Homme,1,Non,Non,Non,Non,Aucun,Non,Non,Oui,Non,Non,Service basic,Non
Zone 1,51,28,Non marie(e),8,43,Bac +4/5,1,Non,Homme,5,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Non
Zone 2,49,51,Marie(e),5,80,Bac +4/5,3,Non,Homme,2,Non,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Oui
Zone 1,35,39,Marie(e),11,30,Bac +2,2,Non,Femme,3,Oui,Non,Non,Non,Aucun,Non,Non,Oui,Oui,Non,Service plus,Oui
Zone 1,58,70,Non marie(e),2,9,Bac +2,24,Oui,Femme,1,Non,Oui,Oui,Oui,Dial-up,Non,Non,Non,Oui,Non,Service electronique,Non
Zone 1,23,35,Marie(e),0,23,Niveau Bac,1,Non,Homme,5,Non,Non,Non,Non,Aucun,Oui,Non,Oui,Oui,Non,Service plus,Non
Zone 2,26,39,Marie(e),15,58,Bac +2/3,9,Non,Femme,2,Oui,Non,Oui,Oui,Dial-up,Oui,Non,Oui,Oui,Non,Service plus,Non
Zone 1,38,37,Marie(e),1,52,Inf au bac,20,Non,Femme,4,Oui,Non,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Non,Service Total,Non
Zone 1,35,66,Marie(e),44,14,Bac +2,12,Oui,Femme,2,Oui,Non,Non,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 2,37,50,Non marie(e),9,110,Niveau Bac,21,Non,Femme,1,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 2,48,43,Marie(e),1,60,Niveau Bac,12,Non,Homme,2,Oui,Oui,Oui,Non,Aucun,Non,Oui,Non,Non,Non,Service electronique,Non
Zone 3,13,43,Marie(e),1,123,Bac +2,21,Non,Homme,5,Oui,Oui,Oui,Non,Dial-up,Oui,Oui,Oui,Non,Oui,Service Total,Non
Zone 1,72,63,Marie(e),29,15,Bac +4/5,31,Oui,Homme,2,Non,Non,Oui,Non,Aucun,Non,Non,Oui,Oui,Non,Service plus,Non
Zone 1,30,27,Non marie(e),4,47,Bac +2/3,2,Non,Femme,2,Non,Non,Oui,Non,Dial-up,Non,Non,Non,Non,Non,Service electronique,Oui
Zone 1,24,43,Non marie(e),14,138,Bac +2/3,11,Non,Femme,1,Oui,Non,Oui,Oui,Dial-up,Oui,Oui,Non,Oui,Non,Service plus,Non
Zone 2,25,51,Marie(e),20,359,Bac +2,29,Non,Homme,2,Oui,Oui,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Non,Service Total,Non
Zone 2,50,52,Non marie(e),30,214,Bac +2,22,Non,Homme,1,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Non
Zone 2,28,40,Non marie(e),7,64,Inf au bac,19,Non,Homme,1,Oui,Non,Non,Non,Aucun,Oui,Non,Non,Oui,Non,Service plus,Non
Zone 3,34,51,Non marie(e),8,50,Bac +2/3,14,Non,Homme,1,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Oui,Service basic,Non
Zone 1,48,32,Non marie(e),2,88,Bac +2,9,Non,Homme,1,Oui,Non,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Non,Service Total,Non
Zone 2,42,36,Marie(e),8,86,Niveau Bac,15,Non,Femme,2,Non,Oui,Non,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 3,67,65,Marie(e),30,17,Inf au bac,29,Oui,Femme,2,Oui,Non,Oui,Non,Aucun,Oui,Non,Oui,Non,Non,Service plus,Non
Zone 1,17,41,Marie(e),7,25,Niveau Bac,17,Non,Homme,3,Non,Oui,Non,Non,Dial-up,Oui,Oui,Oui,Non,Oui,Service plus,Non
Zone 1,29,38,Marie(e),19,46,Niveau Bac,6,Non,Homme,2,Non,Oui,Non,Non,Aucun,Non,Non,Non,Non,Oui,Service electronique,Non
Zone 3,66,61,Non marie(e),26,361,Inf au bac,40,Non,Femme,1,Non,Non,Oui,Non,Aucun,Non,Non,Non,Oui,Non,Service electronique,Non
Zone 2,1,21,Non marie(e),1,18,Bac +2,0,Non,Femme,1,Non,Oui,Non,Non,Dial-up,Non,Non,Non,Oui,Oui,Service basic,Oui
Zone 1,28,33,Marie(e),3,14,Bac +2/3,1,Non,Homme,3,Oui,Oui,Non,Oui,Dial-up,Non,Oui,Oui,Non,Oui,Service Total,Oui
Zone 1,15,35,Marie(e),5,34,Bac +2,8,Non,Homme,2,Non,Oui,Non,Non,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Oui
Zone 2,12,64,Non marie(e),13,9,Niveau Bac,6,Oui,Femme,1,Oui,Oui,Oui,Non,Dial-up,Oui,Oui,Oui,Oui,Oui,Service plus,Non
Zone 3,48,49,Non marie(e),18,39,Niveau Bac,5,Non,Femme,1,Oui,Oui,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Non,Service Total,Oui
Zone 2,59,25,Marie(e),4,18,Bac +2,2,Non,Homme,4,Non,Oui,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 3,8,26,Marie(e),1,25,Bac +2/3,1,Non,Homme,2,Non,Oui,Non,Non,Dial-up,Non,Non,Non,Non,Oui,Service basic,Oui
Zone 1,45,52,Non marie(e),15,46,Bac +4/5,8,Non,Femme,1,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Oui,Service electronique,Oui
Zone 1,25,39,Marie(e),8,94,Bac +2/3,11,Non,Femme,4,Non,Oui,Non,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Oui
Zone 1,21,44,Marie(e),4,26,Bac +2,2,Non,Homme,2,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Non,Service Total,Non
Zone 2,17,68,Marie(e),1,335,Inf au bac,35,Non,Femme,3,Oui,Non,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Non,Service Total,Non
Zone 2,41,45,Non marie(e),14,25,Bac +2,6,Non,Homme,1,Non,Oui,Oui,Oui,Dial-up,Non,Non,Oui,Oui,Oui,Service basic,Oui
Zone 1,13,45,Marie(e),3,99,Bac +2,8,Non,Femme,2,Non,Non,Oui,Non,Dial-up,Oui,Non,Oui,Non,Non,Service plus,Oui
Zone 2,1,26,Marie(e),3,30,Niveau Bac,7,Non,Femme,5,Non,Oui,Non,Non,Aucun,Non,Non,Non,Non,Oui,Service basic,Oui
Zone 3,3,31,Marie(e),4,35,Niveau Bac,2,Non,Femme,3,Oui,Oui,Non,Oui,Dial-up,Oui,Non,Oui,Non,Oui,Service Total,Oui
Zone 1,23,27,Marie(e),2,51,Bac +4/5,1,Non,Femme,2,Non,Oui,Non,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Oui
Zone 3,26,42,Non marie(e),20,49,Bac +2,13,Non,Homme,1,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Oui
Zone 1,37,51,Marie(e),15,54,Inf au bac,15,Non,Homme,3,Oui,Non,Oui,Non,Aucun,Non,Oui,Non,Oui,Non,Service plus,Non
Zone 3,5,30,Non marie(e),3,46,Bac +2/3,7,Non,Homme,1,Non,Oui,Non,Non,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Oui
Zone 1,32,27,Marie(e),3,91,Bac +2/3,1,Non,Femme,3,Oui,Oui,Oui,Oui,Dial-up,Oui,Non,Non,Oui,Oui,Service Total,Oui
Zone 3,12,22,Non marie(e),1,23,Bac +2/3,0,Non,Homme,2,Non,Non,Non,Non,Aucun,Non,Non,Oui,Non,Non,Service basic,Non
Zone 1,72,54,Marie(e),6,345,Inf au bac,32,Non,Homme,2,Non,Non,Oui,Non,Aucun,Non,Oui,Non,Oui,Non,Service plus,Non
Zone 3,3,25,Marie(e),2,45,Bac +2/3,0,Non,Femme,2,Oui,Oui,Non,Non,Dial-up,Non,Non,Non,Non,Oui,Service basic,Oui
Zone 1,54,43,Non marie(e),12,53,Niveau Bac,12,Non,Homme,1,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
